,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V1,3.705512e-07,0.1942384,0.17356254,0.32740247,-0.24147595,-0.16804715,-0.35704297,0.2814557,0.3556857,0.22824597,0.4321113,-0.19231878,-0.31433615,-0.28271377,-0.013296861,0.2555411,-0.38038257,0.24237816,-0.2140035,0.07343905,-0.24029645,0.35324222,-0.13643427,0.03200351,-0.39267784,0.024240011,-0.3170598,-0.025750319,-0.024398886,-0.36001578,0.026193762,0.39324388,-0.050549634,0.0072623556,0.007340464,0.011835954,-0.057865728,0.027980668,0.011162823,0.04583761,0.017466098,-0.17737843,0.058941875,-0.00027984247,0.020357462,0.039751396,0.12724271,-0.0017034184,-0.019474197,-0.015496586
V2,0.0015720321,-4.862801e-05,-0.048693016,-0.15968257,-0.31640238,0.3834713,-0.22924179,-0.26136756,-0.24313761,-0.14802997,-0.29622328,-0.28584942,-0.22619103,-0.21744992,0.03666644,0.27908164,-0.03499936,0.23647399,-0.13166083,0.35494882,-0.102200955,0.013103199,0.34597892,0.017570788,-0.11251588,-0.0049070413,-0.358413,-0.000558724,-0.08752445,0.00043911868,0.009228749,0.13222533,0.18994673,-0.32509145,0.0089199245,-0.15330175,0.026943747,-0.024002906,-0.0047444305,0.13898061,-0.013154287,-0.018522251,0.025374526,-0.2562522,-0.0010321658,0.009547019,0.0118169375,-0.00032715948,-0.010237497,-0.008160323
V3,0.0076289573,-0.034835625,-1.0935641e-05,-0.18787591,-0.16625334,-0.28840554,-0.078403525,-0.39621374,-0.26904508,-0.22922398,0.22041418,-0.27351248,0.2904125,-0.020452863,-0.14818187,-0.016724898,-0.008138637,0.33866286,0.33790788,-0.30812207,-0.13235407,0.026623415,0.37465855,-0.16557467,-0.23403674,0.02269538,0.069643,-0.007063553,-0.008399641,0.0328459,0.0027298843,-0.017417628,0.20478095,0.0113906115,0.20206569,-0.052574445,-0.003925109,-0.09479655,0.007591551,-0.05406281,0.012526617,-0.0012078388,0.0011246222,0.016671,0.0025083416,-0.012399582,-0.011408581,-9.868137e-05,-0.001270853,-0.008500654
V4,-0.0033564528,0.014783816,0.0020992255,-4.7495374e-05,-0.18627037,-0.105343185,-0.28158662,0.24499667,-0.40034875,0.18336535,-0.45428553,-0.25630596,-0.011376825,-0.17894672,0.07019716,0.017557193,-0.37397343,-0.22106095,0.20521708,0.00999422,-0.30912164,-0.2151405,0.36614093,0.20505047,0.052563768,-0.0002690614,0.4166479,-0.01400829,-0.025811002,-0.3089261,-0.383011,0.11697359,-0.018820805,0.033689093,0.2869846,0.027259057,0.0056303106,0.030764328,-0.00610425,-0.07868545,0.0026934205,0.005982652,-0.08806192,0.008848083,-0.021794055,0.17040408,0.0072141145,-0.015719822,-0.13376155,0.008359908
V5,0.004004532,0.055938803,0.0051716254,0.0007494297,8.9050445e-06,-5.450794e-05,0.00891592,-0.30571508,0.0071571954,-0.20847751,0.00092137855,-0.007568654,0.39723626,0.004125661,-0.0067389305,-0.01473203,0.121299945,-0.012929287,0.020134827,0.00012345047,-0.0019528144,-0.0019813534,0.025732718,0.0012853338,-0.01794868,0.0015821968,0.0008816116,0.003694311,0.00028608425,-0.001109342,0.009558773,-0.0019899262,0.05930044,-0.0012331633,-0.0011732094,0.0027004965,0.0039532497,0.0016147972,0.00023115583,-0.02483149,-0.0020580923,-0.0007207853,0.08033014,-0.0061255563,0.0008583941,-0.0011736659,0.023544546,0.0047708736,-0.0026388594,0.002641029
V6,0.022276558,-0.011019857,-0.018997697,0.010446205,0.019307973,-2.4811676e-05,-0.21155608,-0.31016758,-0.38078767,-0.20932297,0.21696311,0.46219534,-0.22596173,-0.002320478,0.018022835,-0.035879105,-0.0006891112,-0.027984906,0.0020523628,0.016731817,-0.21186355,-0.25382286,0.035285406,-0.030009963,-0.007566874,0.4023503,-0.011779306,-0.03598249,-0.008457238,0.024494233,-0.027504057,0.0044089947,0.0041631493,0.4008336,0.037290778,-0.0070365164,0.017534135,-0.008598051,0.0130730625,-0.42752934,0.008460525,0.012731915,-0.070865184,0.0065381275,-0.0029541103,0.0009209172,0.027224688,-0.013292184,-0.005666876,-0.028427703
V7,0.020639414,-0.009974027,-0.0065225638,-0.04512806,0.004262883,-0.007566911,-5.4597775e-05,-0.28829366,0.24750966,0.1423983,0.00070047035,0.0028102992,-0.363112,0.24048625,0.0018081566,-0.012129085,-0.008777525,-0.12253299,0.29232904,0.0036117586,0.004254253,0.34378988,-0.3311531,-0.00012567262,0.036541156,-0.010366818,-0.040799182,0.007080446,0.001437848,0.0009536555,-0.0017756015,0.0058438363,-0.497382,-0.027232993,-0.029639034,-0.0059933434,-0.0036350247,0.0034900927,0.0017626898,0.054727733,-0.0041155703,0.06521461,-0.0007668593,-0.19592296,0.0020397417,-0.000925306,-0.008098468,-0.00484303,-0.0021909059,6.006638e-05
V8,-0.0033547934,0.0022175147,0.010688108,0.008983201,0.0046294625,-0.00993924,0.039282486,-9.619106e-05,0.44274566,-0.011896015,5.5745946e-05,0.2666345,-0.3594617,-0.030749047,0.0011387626,0.00799738,-0.044520337,-0.0803733,-0.006749123,-0.011556847,-0.0020343903,0.0010405607,-0.002481444,0.0008905797,0.01742582,0.0054175896,0.060375437,-0.0061093774,0.0028127453,0.38400716,0.3611559,0.010150794,-0.042521384,-0.005828545,-0.005704486,-0.005819892,0.0012453318,0.25098112,-0.037337553,0.0051228954,-0.000571518,0.004483443,-0.0029215824,0.0050093294,-0.004676834,-0.001577397,0.0021665243,0.0009197569,-0.0037668701,-0.003959969
V9,-0.022205444,0.014906901,0.014301141,0.030659176,-0.0023032264,-0.0061853933,0.0022067719,0.001558132,-1.0153933e-05,0.33922827,-0.0024713175,-0.35807896,0.2307786,0.0005983746,-0.007278007,-0.03772583,0.26546472,-0.21739024,-0.2556826,0.001465236,0.2555321,-0.2965807,-0.22170636,-0.22605751,0.007090331,-0.1324979,0.1860398,0.013877802,0.015282286,-0.0026849194,0.004806169,0.31437242,0.17729682,0.25122926,-0.021295656,-0.0007822426,-0.014384187,-0.011478257,0.007168092,0.05341698,-0.022901008,0.0037963632,0.0040953727,0.28931263,-0.0054846774,-0.3195252,0.26237053,0.005739609,0.0026683249,0.0010344855
V10,-0.0007999711,-0.010611107,8.396414e-05,0.00020900351,-0.008247462,0.02372951,-0.0017236879,-0.013241566,0.00062510103,3.0745203e-05,0.0008305549,0.011452741,-0.0022699148,0.014171895,4.93556e-06,0.41122437,0.003327559,-0.006551625,0.004739137,-7.719264e-06,0.006793163,-0.13475728,0.022461765,-0.00089705986,5.9328366e-05,0.009495145,-0.045621723,-5.4955166e-05,1.7506349e-05,-1.795995e-05,0.000104052495,0.017408632,0.0019305183,0.00047406528,-0.0049545183,0.40829697,0.00025480072,0.00035078396,0.0008244677,0.0033757635,-0.0014696118,8.985071e-05,9.615681e-06,0.008828829,-7.1884824e-05,2.224029e-05,-0.0064588976,9.5212645e-06,0.002051443,5.1176405e-05
