,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V1,0.49333333333333335,0.011666666666666667,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983333333333333,0.0,0.0,0.0,0.0,0.07666666666666666,0.0,0.0,0.0,0.27166666666666667,0.0,0.30833333333333335,0.0,0.31,0.31333333333333335,0.0,0.245,0.0,0.165,0.43166666666666664,0.44666666666666666,0.40166666666666667,0.12833333333333333,0.2816666666666667,0.415,0.18333333333333332,0.325,0.0,0.16833333333333333,0.4866666666666667,0.33,0.22,0.018333333333333333,0.4633333333333333,0.3233333333333333,0.38333333333333336
V2,0.48833333333333334,0.495,0.16166666666666665,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19833333333333333,0.0,0.19333333333333333,0.0,0.0,0.0,0.021666666666666667,0.35833333333333334,0.0,0.31166666666666665,0.008333333333333333,0.42,0.0,0.5,0.056666666666666664,0.49166666666666664,0.375,0.0,0.0,0.0,0.3566666666666667,0.0,0.27166666666666667,0.25333333333333335,0.4683333333333333,0.0016666666666666668,0.3416666666666667,0.23833333333333334,0.29833333333333334,0.0,0.495,0.4,0.385,0.49166666666666664,0.4166666666666667,0.4
V3,0.415,0.215,0.49333333333333335,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.31333333333333335,0.38333333333333336,0.0,0.0,0.0,0.0016666666666666668,0.24833333333333332,0.0,0.0,0.0,0.2733333333333333,0.043333333333333335,0.43833333333333335,0.385,0.17666666666666667,0.4816666666666667,0.29333333333333333,0.0,0.37166666666666665,0.0,0.09333333333333334,0.4633333333333333,0.03,0.40166666666666667,0.08166666666666667,0.36666666666666664,0.49666666666666665,0.485,0.31333333333333335,0.47,0.355,0.4,0.48333333333333334,0.45666666666666667,0.365
V4,0.45666666666666667,0.3516666666666667,0.49833333333333335,0.47833333333333333,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3466666666666667,0.0,0.07666666666666666,0.28833333333333333,0.0,0.0,0.0,0.3616666666666667,0.0,0.0,0.0,0.0,0.08833333333333333,0.48333333333333334,0.0,0.37333333333333335,0.19,0.0,0.0,0.0,0.27,0.21333333333333335,0.0,0.24166666666666667,0.42,0.19833333333333333,0.4033333333333333,0.04,0.44333333333333336,0.44,0.035,0.4066666666666667,0.25333333333333335,0.0,0.41,0.29833333333333334,0.006666666666666667,0.36333333333333334
V5,0.43333333333333335,0.14333333333333334,0.43166666666666664,0.4766666666666667,0.49166666666666664,0.4816666666666667,0.37,0.0,0.37166666666666665,0.0,0.5,0.3516666666666667,0.0,0.4483333333333333,0.38333333333333336,0.3233333333333333,0.006666666666666667,0.265,0.22333333333333333,0.47333333333333333,0.485,0.44666666666666666,0.13833333333333334,0.4666666666666667,0.27,0.43166666666666664,0.4866666666666667,0.4666666666666667,0.5,0.45666666666666667,0.3433333333333333,0.4483333333333333,0.11166666666666666,0.46,0.4683333333333333,0.46166666666666667,0.4116666666666667,0.48333333333333334,0.485,0.21666666666666667,0.4683333333333333,0.4866666666666667,0.08166666666666667,0.4033333333333333,0.49166666666666664,0.4633333333333333,0.26166666666666666,0.39,0.44,0.4766666666666667
V6,0.2783333333333333,0.38166666666666665,0.3333333333333333,0.37166666666666665,0.2816666666666667,0.4866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.2816666666666667,0.125,0.4866666666666667,0.23,0.46166666666666667,0.2866666666666667,0.0,0.0,0.115,0.20833333333333334,0.38,0.0,0.37166666666666665,0.20166666666666666,0.415,0.23833333333333334,0.20833333333333334,0.4683333333333333,0.42333333333333334,0.0,0.20166666666666666,0.405,0.32,0.4116666666666667,0.36833333333333335,0.0,0.41,0.3333333333333333,0.07,0.42833333333333334,0.455,0.49166666666666664,0.2633333333333333,0.34833333333333333,0.425,0.22333333333333333
V7,0.305,0.375,0.43333333333333335,0.165,0.4216666666666667,0.35333333333333333,0.49666666666666665,0.0,0.0,0.0,0.49,0.415,0.0,0.0,0.4866666666666667,0.305,0.39,0.0033333333333333335,0.0,0.43333333333333335,0.49166666666666664,0.0,0.0,0.5,0.15833333333333333,0.3233333333333333,0.12666666666666668,0.41,0.45,0.47333333333333333,0.46166666666666667,0.41833333333333333,0.0,0.20333333333333334,0.18166666666666667,0.4116666666666667,0.45166666666666666,0.455,0.435,0.09666666666666666,0.45,0.095,0.4583333333333333,0.0,0.44,0.495,0.38666666666666666,0.38,0.49666666666666665,0.5
V8,0.4583333333333333,0.49,0.3616666666666667,0.40166666666666667,0.44333333333333336,0.385,0.175,0.43666666666666665,0.0,0.34833333333333333,0.49833333333333335,0.0,0.0,0.15333333333333332,0.4716666666666667,0.42833333333333334,0.14833333333333334,0.03333333333333333,0.4116666666666667,0.2916666666666667,0.48,0.4633333333333333,0.44333333333333336,0.4816666666666667,0.265,0.4116666666666667,0.06166666666666667,0.415,0.445,0.0,0.0,0.35833333333333334,0.12333333333333334,0.4033333333333333,0.41333333333333333,0.4,0.4716666666666667,0.0,0.18333333333333332,0.405,0.49166666666666664,0.42833333333333334,0.465,0.44666666666666666,0.3883333333333333,0.46,0.4583333333333333,0.46166666666666667,0.45666666666666667,0.41833333333333333
V9,0.2816666666666667,0.33166666666666667,0.29,0.18833333333333332,0.4666666666666667,0.42833333333333334,0.4483333333333333,0.49166666666666664,0.47333333333333333,0.0,0.42333333333333334,0.0,0.0,0.49666666666666665,0.36833333333333335,0.11333333333333333,0.0,0.0,0.0,0.4766666666666667,0.0,0.0,0.0,0.0,0.39666666666666667,0.0016666666666666668,0.0,0.30333333333333334,0.29,0.45666666666666667,0.44666666666666666,0.0,0.0,0.0,0.21833333333333332,0.49166666666666664,0.30666666666666664,0.36833333333333335,0.4083333333333333,0.08666666666666667,0.20333333333333334,0.43333333333333335,0.41,0.0,0.3933333333333333,0.0,0.0,0.4166666666666667,0.4583333333333333,0.47333333333333333
V10,0.4666666666666667,0.3616666666666667,0.47833333333333333,0.49166666666666664,0.38666666666666666,0.20666666666666667,0.45,0.3,0.49166666666666664,0.4866666666666667,0.46,0.27,0.3983333333333333,0.31333333333333335,0.495,0.0,0.3983333333333333,0.38,0.3883333333333333,0.47,0.385,0.02666666666666667,0.18833333333333332,0.4583333333333333,0.47,0.3383333333333333,0.12333333333333334,0.46,0.49333333333333335,0.4816666666666667,0.4866666666666667,0.29,0.43833333333333335,0.45,0.37833333333333335,0.0,0.4216666666666667,0.455,0.45166666666666666,0.4166666666666667,0.47833333333333333,0.455,0.485,0.38,0.47333333333333333,0.49833333333333335,0.39166666666666666,0.485,0.4633333333333333,0.47833333333333333
