,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V1,0.0,0.9666666666666667,0.9533333333333334,1.0,1.0,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20833333333333334,0.9983333333333333,1.0,1.0,1.0,0.65,1.0,1.0,0.975,0.3416666666666667,1.0,0.27,1.0,0.2783333333333333,0.2683333333333333,1.0,0.27,1.0,0.49166666666666664,0.18166666666666667,0.17333333333333334,0.17,0.5083333333333333,0.275,0.19666666666666666,0.44333333333333336,0.23,0.9866666666666667,0.535,0.165,0.225,0.37833333333333335,0.895,0.17166666666666666,0.255,0.2
V2,0.14666666666666667,0.0,0.44166666666666665,0.9533333333333334,1.0,1.0,1.0,1.0,1.0,0.985,1.0,1.0,1.0,1.0,0.32666666666666666,1.0,0.30333333333333334,1.0,0.9866666666666667,1.0,0.835,0.14333333333333334,1.0,0.18333333333333332,0.89,0.135,1.0,0.10166666666666667,0.71,0.10166666666666667,0.1,0.955,0.9966666666666667,1.0,0.10333333333333333,0.985,0.25166666666666665,0.20833333333333334,0.08666666666666667,0.9483333333333334,0.12166666666666667,0.16166666666666665,0.22833333333333333,1.0,0.10166666666666667,0.115,0.15,0.11,0.14333333333333334,0.12
V3,0.15333333333333332,0.30666666666666664,0.0,0.9966666666666667,0.9933333333333333,1.0,0.6816666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.18166666666666667,0.95,0.13833333333333334,0.07,1.0,1.0,1.0,0.9266666666666666,0.26166666666666666,1.0,0.9916666666666667,1.0,0.22166666666666668,0.6383333333333333,0.10666666666666667,0.08333333333333333,0.28833333333333333,0.09666666666666666,0.13666666666666666,1.0,0.09833333333333333,0.9966666666666667,0.48333333333333334,0.075,0.7933333333333333,0.105,0.485,0.12333333333333334,0.07333333333333333,0.09,0.135,0.09333333333333334,0.10833333333333334,0.135,0.08333333333333333,0.07166666666666667,0.08833333333333333
V4,0.14,0.155,0.095,0.0,0.99,0.8716666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.075,0.9983333333333333,0.6266666666666667,0.14166666666666666,1.0,1.0,1.0,0.08,1.0,0.9966666666666667,1.0,0.9983333333333333,0.4816666666666667,0.07833333333333334,1.0,0.15166666666666667,0.22833333333333333,1.0,1.0,0.9316666666666666,0.15,0.30333333333333334,1.0,0.23,0.06666666666666667,0.27166666666666667,0.09333333333333334,0.6933333333333334,0.07166666666666667,0.08666666666666667,0.7233333333333334,0.1,0.2,0.9983333333333333,0.09333333333333334,0.135,0.9333333333333333,0.10166666666666667
V5,0.095,0.46166666666666667,0.051666666666666666,0.04833333333333333,0.0,0.013333333333333334,0.056666666666666664,1.0,0.035,1.0,0.005,0.028333333333333332,1.0,0.06,0.04666666666666667,0.11333333333333333,0.9416666666666667,0.07333333333333333,0.13166666666666665,0.005,0.04833333333333333,0.03166666666666667,0.17833333333333334,0.006666666666666667,0.14,0.0016666666666666668,0.011666666666666667,0.028333333333333332,0.023333333333333334,0.006666666666666667,0.056666666666666664,0.03666666666666667,0.5433333333333333,0.015,0.016666666666666666,0.015,0.03166666666666667,0.015,0.013333333333333334,0.215,0.013333333333333334,0.013333333333333334,0.625,0.03666666666666667,0.006666666666666667,0.006666666666666667,0.2,0.03666666666666667,0.015,0.02
V6,0.21666666666666667,0.15333333333333332,0.22166666666666668,0.15166666666666667,0.18,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.055,0.165,0.2916666666666667,0.056666666666666664,0.275,0.035,0.13833333333333334,1.0,1.0,0.29,0.28,0.075,1.0,0.11833333333333333,0.31166666666666665,0.10666666666666667,0.19666666666666666,0.25,0.06333333333333334,0.065,1.0,0.3616666666666667,0.08333333333333333,0.16833333333333333,0.095,0.13333333333333333,1.0,0.1,0.1,0.59,0.08666666666666667,0.07666666666666666,0.04833333333333333,0.25333333333333335,0.12166666666666667,0.06,0.23666666666666666
V7,0.21833333333333332,0.11833333333333333,0.058333333333333334,0.4066666666666667,0.07,0.04,0.0,1.0,1.0,0.9866666666666667,0.023333333333333334,0.005,1.0,1.0,0.03166666666666667,0.08,0.10333333333333333,0.9433333333333334,1.0,0.03833333333333333,0.06833333333333333,1.0,1.0,0.028333333333333332,0.3283333333333333,0.06333333333333334,0.37666666666666665,0.051666666666666666,0.041666666666666664,0.02666666666666667,0.023333333333333334,0.055,1.0,0.21333333333333335,0.265,0.03833333333333333,0.03333333333333333,0.055,0.02666666666666667,0.48,0.035,0.58,0.016666666666666666,1.0,0.021666666666666667,0.025,0.07333333333333333,0.023333333333333334,0.025,0.018333333333333333
V8,0.12,0.028333333333333332,0.07,0.16333333333333333,0.11666666666666667,0.10666666666666667,0.38333333333333336,0.0,1.0,0.09,0.03,1.0,1.0,0.2783333333333333,0.013333333333333334,0.09,0.41833333333333333,0.735,0.041666666666666664,0.06833333333333333,0.018333333333333333,0.03833333333333333,0.011666666666666667,0.013333333333333334,0.13,0.055,0.5583333333333333,0.04666666666666667,0.013333333333333334,1.0,1.0,0.115,0.375,0.03333333333333333,0.043333333333333335,0.06,0.011666666666666667,1.0,0.3283333333333333,0.043333333333333335,0.006666666666666667,0.03166666666666667,0.025,0.056666666666666664,0.03666666666666667,0.025,0.015,0.011666666666666667,0.03166666666666667,0.023333333333333334
V9,0.20666666666666667,0.16833333333333333,0.10166666666666667,0.24166666666666667,0.041666666666666664,0.105,0.043333333333333335,0.03333333333333333,0.0,1.0,0.03,1.0,1.0,0.03333333333333333,0.051666666666666666,0.3233333333333333,1.0,1.0,1.0,0.03333333333333333,1.0,1.0,1.0,1.0,0.05,0.975,1.0,0.09833333333333333,0.09833333333333333,0.041666666666666664,0.03333333333333333,1.0,1.0,1.0,0.175,0.055,0.11,0.11333333333333333,0.07,0.49,0.175,0.03166666666666667,0.045,1.0,0.02666666666666667,1.0,1.0,0.04833333333333333,0.03833333333333333,0.03666666666666667
V10,0.055,0.08166666666666667,0.0,0.043333333333333335,0.06166666666666667,0.195,0.006666666666666667,0.08833333333333333,0.03,0.0,0.0016666666666666668,0.03166666666666667,0.0,0.11666666666666667,0.0,1.0,0.021666666666666667,0.04,0.011666666666666667,0.0,0.055,0.9333333333333333,0.17333333333333334,0.005,0.0,0.06333333333333334,0.4216666666666667,0.0,0.0,0.0,0.0,0.14,0.01,0.006666666666666667,0.03166666666666667,1.0,0.0,0.005,0.0033333333333333335,0.02,0.01,0.0,0.0,0.056666666666666664,0.0,0.0,0.045,0.0,0.013333333333333334,0.0
V11,0.10166666666666667,0.005,0.16666666666666666,0.12333333333333334,0.011666666666666667,0.04,0.005,0.023333333333333334,0.0,0.03666666666666667,0.0,1.0,0.016666666666666666,0.0033333333333333335,0.02,0.01,0.016666666666666666,0.005,0.005,0.016666666666666666,0.0033333333333333335,0.02,0.005,0.025,0.13166666666666665,0.7466666666666667,0.09166666666666666,0.005,0.0016666666666666668,1.0,1.0,0.0033333333333333335,0.008333333333333333,0.03166666666666667,0.11166666666666666,0.028333333333333332,0.013333333333333334,0.02,0.018333333333333333,0.0033333333333333335,0.01,0.016666666666666666,0.12833333333333333,0.008333333333333333,1.0,0.02666666666666667,0.02666666666666667,0.0033333333333333335,0.03666666666666667,0.005
V12,0.10333333333333333,0.135,0.14833333333333334,0.016666666666666666,0.025,0.14833333333333334,0.05333333333333334,0.09833333333333333,0.018333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.021666666666666667,0.0033333333333333335,0.09333333333333334,0.03,0.051666666666666666,1.0,0.008333333333333333,0.006666666666666667,0.011666666666666667,0.01,0.0033333333333333335,0.02,0.045,0.2683333333333333,0.005,0.16333333333333333,0.013333333333333334,0.006666666666666667,1.0,0.03666666666666667,0.03833333333333333,0.25,1.0,1.0,1.0,0.06833333333333333,1.0,0.03,1.0,0.04833333333333333,0.6733333333333333,0.013333333333333334,0.008333333333333333,0.01,0.05333333333333334,1.0,0.006666666666666667,0.011666666666666667
